证券代码,证券简称,"广告宣传推广费(销售费用)
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2018年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2019年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2020年报
[报表类型] 合并报表
[单位] 元","所属证监会行业名称
[交易日期] 最新收盘日
[行业级别] 门类行业"
002085.SZ,万丰奥威,,,,,"2,936.0100",0.0000,,,,,制造业
002086.SZ,*ST东洋,,"3,665,847.9900","2,237,071.5300","705,178.4800","1,617,801.0800","1,712,630.5700","2,019,985.4300","2,190,271.9000","16,903,815.9300","10,997,857.3700",农、林、牧、渔业
002087.SZ,新野纺织,,,,,,"66,294.3400","9,433.9600","22,150.7800","693,839.0000",0.0000,制造业
002088.SZ,鲁阳节能,,"2,379,054.7100","1,688,489.1900","1,266,866.9800",,,"904,460.8500","371,134.7300","2,020,534.3600","3,047,808.3800",制造业
002089.SZ,ST新海,,,,,,,,,,,制造业
002090.SZ,金智科技,,"3,193,784.7500","2,310,327.4900","2,979,458.2000","2,660,465.7300","354,373.4200","1,131,788.7800","606,344.8800","1,288,967.1700","720,785.1400",制造业
002091.SZ,江苏国泰,,"49,048,236.1000","58,829,895.5500","54,856,705.3900","118,960,238.4400","20,182,114.8900","84,463,120.2300","71,939,032.7300","88,241,177.7800","36,917,863.5900",批发和零售业
002092.SZ,中泰化学,,,,,,,,,,,制造业
002093.SZ,国脉科技,,,,,,"8,386,174.2700","3,254,838.7200","1,801,933.1900","165,458.4300",,信息传输、软件和信息技术服务业
002094.SZ,青岛金王,,"3,956,191.6900","2,523,458.7300","2,014,234.3200","6,586,710.6100","14,921,376.8800","60,266,380.3300","106,077,557.3200","71,727,104.0600","76,193,445.1700",制造业
002095.SZ,生意宝,,"1,062,573.6300","403,315.1100","423,968.7300","1,285,270.1900","569,240.7900","562,029.6900","561,657.9800","308,096.8300","177,967.2600",信息传输、软件和信息技术服务业
002096.SZ,南岭民爆,,,,,,,,,,,制造业
002097.SZ,山河智能,,"30,314,804.2900","13,822,302.5400","5,275,483.6500","10,661,367.7200","8,683,931.6300","6,684,064.2600","14,105,880.1800","35,158,001.0800","50,462,530.3000",制造业
002098.SZ,浔兴股份,,"1,750,728.0800","2,357,602.3600","2,322,191.5400","2,220,959.8100","2,827,483.3200","3,828,900.7500","69,578,995.0600","41,167,553.5000","23,042,405.4100",制造业
002099.SZ,海翔药业,,"2,252,772.2500","2,277,907.3700","2,979,292.9800","2,961,812.9700","3,033,041.6200","2,166,271.4500","3,083,947.2200","2,730,663.1100","1,772,820.5800",制造业
002100.SZ,天康生物,,,,,,,,,,,制造业
002101.SZ,广东鸿图,,,,,,,,,,,制造业
002102.SZ,ST冠福,,"90,298,176.9000","35,077,683.4400","29,551,567.4800","39,449,640.2100","3,410,287.1200","2,784,965.2200","4,552,569.7500","2,086,467.0600","4,485,931.3800",制造业
002103.SZ,广博股份,,"17,207,389.6400","16,775,314.1900","15,287,476.5300","19,127,619.9000","41,382,521.9900","51,297,841.8500","19,035,926.2400","19,582,856.7200","22,094,431.5400",租赁和商务服务业
002104.SZ,恒宝股份,,"182,035.5800","9,088.0000","125,146.1500","803,214.8400","549,529.0500","5,311,449.3700","3,366,644.3800","3,899,056.1300","3,310,146.9900",制造业
002105.SZ,信隆健康,,"1,747,076.7500","3,629,691.9800","2,688,995.1800","1,674,268.4300","4,097,192.6200","4,409,496.6800","4,474,146.0400","3,967,441.6500","1,693,977.6100",制造业
002106.SZ,莱宝高科,,,,,"17,880,583.8700","24,301,707.4000","31,710,387.4300","37,709,646.3200","49,400,298.1000",0.0000,制造业
002107.SZ,沃华医药,,,,"73,389,970.7000","100,861,560.6000","156,142,741.4600","243,414,241.6200","315,684,113.7700","286,132,911.4500","300,029,056.1300",制造业
002108.SZ,沧州明珠,,"190,128.0000","231,129.1200","318,124.7500","396,718.3900","696,271.2600","307,070.5300","509,519.2000","252,109.0000","263,949.2000",制造业
002109.SZ,兴化股份,,,,,,"98,902.9100","6,935.9200",,,,制造业
002110.SZ,三钢闽光,,,,,,,,,"2,406,986.4300","2,405,367.8800",制造业
002111.SZ,威海广泰,,"2,147,528.0500","2,094,630.5900","1,862,477.1300","4,576,134.0500","6,012,704.9800","9,632,669.5200","7,288,238.7500","17,177,980.7900","5,840,135.6500",制造业
002112.SZ,三变科技,,,,,,,,,,,制造业
002113.SZ,*ST天润,,,,,,"13,518,158.0300","40,735,213.7300","4,259,705.7300","769,933.5100",0.0000,信息传输、软件和信息技术服务业
002114.SZ,罗平锌电,,,,,,,,,,,制造业
002115.SZ,三维通信,,,,,,,,,,,制造业
002116.SZ,中国海诚,,"267,841.0000","753,873.0800","475,611.3600","286,300.3900","57,968.1400","170,725.4200","386,038.7900","155,272.5800","98,090.2500",建筑业
002117.SZ,东港股份,,,,,,,,,,,制造业
002118.SZ,紫鑫药业,,,,"16,187,607.1700","9,180,186.3000","32,854,226.9600","58,131,432.1600","86,043,485.9100","18,457,313.4500","8,257,009.3000",制造业
002119.SZ,康强电子,,,,,,,,,,"61,141.7100",制造业
002120.SZ,韵达股份,,"2,164,491.4100","1,228,900.8400","1,284,052.7100","1,497,292.5400","16,814,594.6800","4,252,649.9500","2,067,113.6700","3,349,186.5200","3,960,121.4100",交通运输、仓储和邮政业
002121.SZ,*ST科陆,,"1,765,568.8500","1,491,777.2900","4,098,221.9400","3,126,158.3100","5,686,062.1100","8,030,023.6000","3,603,633.4900","8,780,473.5400","703,210.5300",制造业
002122.SZ,*ST天马,,"2,331,800.7400","1,883,088.9000","1,336,788.0100","726,962.3600","725,059.6700","1,411,135.3200","692,088.8900","2,056,764.5700","205,168.1800",制造业
002123.SZ,梦网科技,,,,,,,,,,"3,115,879.3200",信息传输、软件和信息技术服务业
002124.SZ,天邦股份,,"6,150,763.9300","10,786,464.8800","11,993,431.7000","11,027,165.6600","13,133,976.8000","16,022,655.0600","7,034,974.2600","4,142,926.8300","2,254,536.5200",制造业
002125.SZ,湘潭电化,,"23,800.0000","19,230.0000",,,,,,,,制造业
002126.SZ,银轮股份,,,,,,,,,,,制造业
002127.SZ,南极电商,,"1,231,087.6000","1,464,939.9700","363,088.0700","379,491.8700","53,650.3800","3,646,660.7700","64,805,416.0000","36,758,702.2600","25,379,197.4300",租赁和商务服务业
002128.SZ,露天煤业,,,,,,,"246,976.5300","295,462.1300","380,872.8500",0.0000,采矿业
002129.SZ,中环股份,,,,,"1,032,214.3500","1,050,016.0300","1,768,741.1500","1,932,284.0600","3,959,095.2700","5,351,861.0800",制造业
002130.SZ,沃尔核材,,"1,352,199.0500","1,563,600.9400","1,097,398.1600","1,959,669.0700","3,301,653.2300","1,980,236.6000","12,866,066.4700","6,107,366.0900","7,937,953.5100",制造业
002131.SZ,利欧股份,,"10,029,813.5600","12,968,373.2900","19,870,890.5600","22,100,062.7200","36,190,140.3300","49,884,120.2300","23,120,282.7100","13,060,353.4400","12,101,664.2200",信息传输、软件和信息技术服务业
002132.SZ,恒星科技,,,,,,,,,,,制造业
002133.SZ,广宇集团,,"14,008,936.0900","20,695,741.4800","28,905,338.7200","23,364,235.6800","19,525,314.5700","9,593,915.8600","20,113,784.7900","29,987,412.1200","23,000,092.9000",房地产业
002134.SZ,天津普林,,,,,,,,,,,制造业
002135.SZ,东南网架,,,,,,,,,,,制造业
002136.SZ,安纳达,,,,,,,,,,,制造业
002137.SZ,实益达,,"4,006,566.8600","3,105,008.2500","1,416,075.9900","32,820.5200","300,005.3800","909,290.8500","1,827,773.1400","582,765.7400","592,536.2100",制造业
002138.SZ,顺络电子,,,,,,,,,,,制造业
002139.SZ,拓邦股份,,"5,154,735.2400","3,855,314.9700","3,230,294.6000","2,503,308.9500","3,346,535.4100","3,606,410.0600","3,836,695.3400","3,642,293.5200","2,469,219.5200",制造业
002140.SZ,东华科技,,,,,,,,,,,建筑业
